,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
28,frozenset({'NON-ALCOHOL'}),"frozenset({'WINE', 'BEER'})",0.05337690631808279,0.0718954248366013,0.015250544662309368,0.2857142857142857,3.9740259740259742,0.011412989306107338,1.2993464052287582,0.7905638665132335
27,"frozenset({'WINE', 'BEER'})",frozenset({'NON-ALCOHOL'}),0.0718954248366013,0.05337690631808279,0.015250544662309368,0.21212121212121213,3.974025974025974,0.011412989306107338,1.2014831573655103,0.806338028169014
14,"frozenset({'WINE', 'KEGS'})",frozenset({'BEER'}),0.0196078431372549,0.2570806100217865,0.0196078431372549,1.0,3.889830508474576,0.014567046862317912,inf,0.7577777777777778
40,"frozenset({'LIQUOR', 'NON-ALCOHOL', 'KEGS'})",frozenset({'BEER'}),0.010893246187363835,0.2570806100217865,0.010893246187363835,1.0,3.889830508474576,0.00809280381239884,inf,0.751101321585903
4,"frozenset({'LIQUOR', 'KEGS'})",frozenset({'BEER'}),0.02178649237472767,0.2570806100217865,0.02178649237472767,1.0,3.889830508474576,0.01618560762479768,inf,0.7594654788418708
8,"frozenset({'NON-ALCOHOL', 'KEGS'})",frozenset({'BEER'}),0.017429193899782137,0.2570806100217865,0.017429193899782137,1.0,3.889830508474576,0.012948486099838145,inf,0.7560975609756098
52,"frozenset({'LIQUOR', 'KEGS', 'WINE'})",frozenset({'BEER'}),0.015250544662309368,0.2570806100217865,0.015250544662309368,1.0,3.889830508474576,0.011329925337358375,inf,0.754424778761062
61,frozenset({'BEER'}),"frozenset({'LIQUOR', 'KEGS', 'WINE'})",0.2570806100217865,0.015250544662309368,0.015250544662309368,0.05932203389830508,3.8898305084745757,0.011329925337358375,1.0468507723409683,0.9999999999999999
51,frozenset({'BEER'}),"frozenset({'LIQUOR', 'NON-ALCOHOL', 'KEGS'})",0.2570806100217865,0.010893246187363835,0.010893246187363835,0.0423728813559322,3.8898305084745757,0.00809280381239884,1.032872539379567,1.0
17,frozenset({'BEER'}),"frozenset({'WINE', 'KEGS'})",0.2570806100217865,0.0196078431372549,0.0196078431372549,0.07627118644067796,3.8898305084745757,0.014567046862317912,1.0613419679798524,1.0
13,frozenset({'BEER'}),"frozenset({'NON-ALCOHOL', 'KEGS'})",0.2570806100217865,0.017429193899782137,0.017429193899782137,0.06779661016949153,3.8898305084745757,0.012948486099838145,1.0540305010893247,1.0
7,frozenset({'BEER'}),"frozenset({'LIQUOR', 'KEGS'})",0.2570806100217865,0.02178649237472767,0.02178649237472767,0.0847457627118644,3.8898305084745757,0.01618560762479768,1.0687888324053902,1.0
67,"frozenset({'LIQUOR', 'WINE'})","frozenset({'NON-ALCOHOL', 'BEER'})",0.16666666666666666,0.023965141612200435,0.015250544662309368,0.09150326797385622,3.818181818181819,0.011256354393609296,1.0743405275779376,0.8857142857142857
68,"frozenset({'NON-ALCOHOL', 'BEER'})","frozenset({'LIQUOR', 'WINE'})",0.023965141612200435,0.16666666666666666,0.015250544662309368,0.6363636363636364,3.8181818181818183,0.011256354393609296,2.2916666666666665,0.756218112244898
0,frozenset({'KEGS'}),frozenset({'BEER'}),0.13616557734204793,0.2570806100217865,0.13071895424836602,0.9600000000000001,3.7342372881355934,0.09571342456130358,18.572984749455372,0.8476250525430853
1,frozenset({'BEER'}),frozenset({'KEGS'}),0.2570806100217865,0.13616557734204793,0.13071895424836602,0.5084745762711864,3.734237288135593,0.09571342456130358,1.757456239200661,0.9855816226783968
64,"frozenset({'NON-ALCOHOL', 'BEER', 'WINE'})",frozenset({'LIQUOR'}),0.015250544662309368,0.3159041394335512,0.015250544662309368,1.0,3.1655172413793102,0.01043283447486959,inf,0.6946902654867257
